Date,google_trends_bitcoin,active_addresses_blockchain,hash_rate_blockchain,miner_revenue_blockchain,btc_sma_14,btc_ema_14,btc_rsi_14,btc_macd,btc_macd_signal,btc_macd_diff,btc_bb_high,btc_bb_low,btc_bb_mid,btc_bb_width,btc_atr_14,btc_trading_volume,btc_volatility_index,Gold_Close,Oil_Close,DJI,GSPC,IXIC,NYSE FANG+,ARK Innovation ETF,CBOE Volatility Index,iShares MSCI Emerging Markets ETF,Shanghai Composite Index,USD Index (DXY),EUR to USD Exchange Rate,btc_close
2024-10-15T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-16T00:00:00+00:00,23,465015,645189233.2,33194077.14,,,,,,,,,,,0,38195189534,1616.5625,2674,70.38999939,43077.69922,5842.470215,18367.08008,11663.74023,47.68999863,19.57999992,44.78394699,3202.947998,103.5899963,1.088411689,67612.71875
2024-10-17T00:00:00+00:00,21,529901,718402195.8,38062121.88,,,,,,,,,,,0,32790898511,1264.820313,2691,70.66999817,43239.05078,5841.470215,18373.60938,11691.45996,47.04000092,19.11000061,44.71511078,3169.384033,103.8300018,1.086248159,67399.83594
2024-10-18T00:00:00+00:00,22,519056,622310182.3,30684181.2,,,,,,,,,,,0,36857165014,1791.929688,2713.699951,69.22000122,43275.91016,5864.669922,18489.55078,11845.91016,48.02999878,18.03000069,45.15763474,3261.562988,103.4899979,1.082954288,68418.78906
2024-10-19T00:00:00+00:00,19,480562,791615158.4,38837709.34,,,,,,,,,,,0,14443497908,643.3671875,2713.699951,69.22000122,43275.91016,5864.669922,18489.55078,11845.91016,48.02999878,18.03000069,45.15763474,3261.562988,103.4899979,1.082954288,68362.73438
2024-10-20T00:00:00+00:00,19,462770,791615158.4,38382016.46,,,,,,,,,,,0,18975847518,1253.289063,2713.699951,69.22000122,43275.91016,5864.669922,18489.55078,11845.91016,48.02999878,18.03000069,45.15763474,3261.562988,103.4899979,1.082954288,69001.70313
2024-10-21T00:00:00+00:00,21,482337,782463538.1,37717977.99,,,,,,,,,,,0,37498611780,2632.882813,2723.100098,70.55999756,42931.60156,5853.97998,18540.00977,11919.51953,47.38000107,18.37000084,44.84294891,3268.110107,104.0100021,1.086861968,67367.85156
2024-10-22T00:00:00+00:00,21,479204,638125714.3,30775801.63,,,,,,,,,,,0,31808472566,1220.210938,2744.199951,72.08999634,42924.89063,5851.200195,18579.76953,11941.24023,47.15000153,18.20000076,44.74460983,3285.866943,104.0800018,1.081782818,67361.40625
2024-10-23T00:00:00+00:00,20,496062,718143298.3,33044108.44,,,,,,,,,,,0,32263980353,2214.707031,2714.399902,70.76999664,42514.94922,5797.419922,18276.65039,11671.9502,45.75999832,19.23999977,44.47909164,3302.802979,104.4300003,1.079727054,66432.19531
2024-10-24T00:00:00+00:00,21,453818,699119634.7,34240642.71,,,,,,,,,,,0,31414428647,2344.859375,2734.899902,70.19000244,42374.35938,5809.859863,18415.49023,11772.7002,47.38000107,19.07999992,44.41025543,3280.262939,104.0599976,1.078050852,68161.05469
2024-10-25T00:00:00+00:00,20,585659,727655130,34823376.26,,,,,,,,,,,0,41469984306,3200.363281,2740.899902,71.77999878,42114.39844,5808.120117,18518.60938,11822.34961,47.66999817,20.32999992,44.37091827,3299.699951,104.2600021,1.082415104,66642.41406
2024-10-26T00:00:00+00:00,17,513505,694363718.9,31704049.38,,,,,,,,,,,0,19588098156,957.328125,2740.899902,71.77999878,42114.39844,5808.120117,18518.60938,11822.34961,47.66999817,20.32999992,44.37091827,3299.699951,104.2600021,1.082415104,67014.69531
2024-10-27T00:00:00+00:00,18,452846,765702457.1,36204165.49,,,,,,,,,,,0,16721307878,1374.085938,2740.899902,71.77999878,42114.39844,5808.120117,18518.60938,11822.34961,47.66999817,20.32999992,44.37091827,3299.699951,104.2600021,1.082415104,67929.29688
2024-10-28T00:00:00+00:00,21,535356,798993868.3,36537186.24,,,,,,,,,,,0,38799856657,2677.132813,2742.899902,67.37999725,42387.57031,5823.52002,18567.18945,11821.83984,48.40000153,19.79999924,44.56759644,3322.197998,104.3199997,1.079657078,69907.75781
2024-10-29T00:00:00+00:00,38,580911,746678793.6,36386425.46,68166.63895,68504.28505,73.7360134,,,,,,,,1932.910156,58541874402,3847.296875,2768.399902,67.20999908,42233.05078,5832.919922,18712.75,12024.66992,48.40999985,19.34000015,44.42992401,3286.406982,104.2799988,1.081677437,72720.49219
2024-10-30T00:00:00+00:00,30,553379,803749784.2,38851883.66,68504.26897,69015.65225,70.95180641,,,,,,,,1901.528181,40646637831,1493.5625,2788.5,68.61000061,42141.53906,5813.669922,18607.92969,11985.94043,48.22999954,20.35000038,43.99723053,3266.238037,103.9899979,1.082063675,72339.53906
2024-10-31T00:00:00+00:00,27,562550,751434709.5,40964324.27,68705.36551,69175.59028,57.83687023,,,,,,,,1985.119918,40627912076,3071.8125,2738.300049,69.26000214,41763.46094,5705.450195,18095.15039,11617.04004,45.88999939,23.15999985,43.71204376,3279.823975,103.9800034,1.08591783,70215.1875
2024-11-01T00:00:00+00:00,25,556938,727655130,33910747.11,68781.34263,69216.50741,54.1209712,,,,,,,,2041.847959,49989795365,2779.3125,2738.600098,69.48999786,42052.19141,5728.799805,18239.91992,11739.28027,46.63999939,21.87999916,43.75138092,3272.013916,104.2799988,1.088613033,69482.46875
2024-11-02T00:00:00+00:00,20,504261,670584139.4,32026078.6,68847.524,69226.20955,53.15131649,,,,,,,,1955.546878,18184612091,833.6328125,2738.600098,69.48999786,42052.19141,5728.799805,18239.91992,11739.28027,46.63999939,21.87999916,43.75138092,3272.013916,104.2799988,1.088613033,69289.27344
2024-11-03T00:00:00+00:00,22,452489,627780896.5,29094437.76,68828.91071,69161.53057,50.39257776,,,,,,,,1950.08873,34868307655,1879.132813,2738.600098,69.48999786,42052.19141,5728.799805,18239.91992,11739.28027,46.63999939,21.87999916,43.75138092,3272.013916,104.2799988,1.088613033,68741.11719
2024-11-04T00:00:00+00:00,22,518020,720519107.3,32758541.07,68860.60045,68981.52753,46.02931043,,,,71914.54054,65306.66337,68610.60195,9.630985569,1998.620339,41184819348,2629.53125,2736.100098,71.47000122,41794.60156,5712.689941,18179.98047,11689.07031,46.68000031,21.97999954,43.99723053,3310.207031,103.8899994,1.087453008,67811.50781
2024-11-05T00:00:00+00:00,24,548496,702351988.7,30868848.26,69003.32589,69031.9322,53.28345854,,,,71984.05579,65411.83249,68697.94414,9.566841302,2074.713305,46046889204,3063.921875,2740.300049,71.98999786,42221.87891,5782.759766,18439.16992,11896.57031,48.18999863,20.48999977,44.5970993,3386.987061,103.4199982,1.087405682,69359.5625
2024-11-06T00:00:00+00:00,89,622567,773092476.8,36479752.34,69660.96038,69912.88499,70.56586611,,,,73516.55235,64703.26015,69109.90625,12.75257438,2436.385569,118592653963,7138.125,2667.600098,71.69000244,43729.92969,5929.040039,18983.4707,12205.41992,52.13999939,16.27000046,44.04639816,3383.805908,105.0899963,1.093445897,75639.07813
2024-11-07T00:00:00+00:00,53,583392,788251152.8,37249666.19,70214.08929,70711.8149,71.05396245,,,,74775.41628,64193.00325,69484.20977,15.22995377,2438.264837,63467654989,2462.695313,2698.399902,72.36000061,43729.33984,5973.100098,19269.46094,12486.01953,52.68999863,15.19999981,45.0199585,3470.660889,104.5100021,1.073306918,75904.85938
2024-11-08T00:00:00+00:00,42,591256,717510664.7,34871500.83,70921.45089,71489.63646,72.2484997,,,,75980.05781,63806.63594,69893.34688,17.41713971,2378.675049,55176858003,1604.007813,2687.5,70.37999725,43988.98828,5995.540039,19286.7793,12416.05957,54.06999969,14.93999958,43.90872192,3452.297119,105,1.079517245,76545.47656
2024-11-09T00:00:00+00:00,35,502341,702351988.7,34682488.73,71618.89174,72194.86722,72.69067155,,,,77047.28301,63517.12714,70282.20508,19.25118294,2291.553729,29009480361,1158.976563,2687.5,70.37999725,43988.98828,5995.540039,19286.7793,12416.05957,54.06999969,14.93999958,43.90872192,3452.297119,105,1.079517245,76778.86719
2024-11-10T00:00:00+00:00,58,564887,747828016.7,38393587.93,72514.95536,73298.77659,78.52500311,2403.377412,,,78882.65428,62992.38947,70937.52188,22.40036639,2478.513619,82570594495,4908.992188,2687.5,70.37999725,43988.98828,5995.540039,19286.7793,12416.05957,54.06999969,14.93999958,43.90872192,3452.297119,105,1.079517245,80474.1875
2024-11-11T00:00:00+00:00,92,623757,687193312.7,36644575.45,73857.3644,75352.47096,85.7991735,3412.767136,,,82918.96996,61090.0816,72004.52578,30.31599489,2967.280503,117966845037,9321.25,2611.199951,68.04000092,44293.12891,6001.350098,19298.75977,12431.03027,57.84999847,14.97000027,43.57436752,3470.065918,105.5400009,1.071489811,88701.48438
2024-11-12T00:00:00+00:00,100,702614,737722232.7,43018236.75,74945.60156,77032.9165,83.05328773,4105.223812,,,85697.00431,60464.40897,73080.70664,34.52702705,3098.315713,133673285375,4801.773438,2600,68.12000275,43910.98047,5983.990234,19281.40039,12521.23047,56.81000137,14.71000004,42.7483139,3421.969971,106.0199966,1.066439152,87955.8125
2024-11-13T00:00:00+00:00,95,636591,697299096.7,40470156.66,76248.78906,78839.74951,84.8890314,4810.632741,,,88713.12043,59690.60379,74201.86211,39.11292225,3389.680439,123559027869,7177.421875,2580.800049,68.43000031,43958.19141,5985.379883,19230.7207,12527.67969,55.84000015,14.02000046,42.47295761,3439.278076,106.4800034,1.061672568,90584.16406
2024-11-14T00:00:00+00:00,74,587387,641717284.6,37903153.61,77465.59208,79961.17353,73.94740802,5042.542605,,,90363.47854,60101.04724,75232.26289,40.22533703,3510.589425,87616705248,5082.40625,2568.199951,68.69999695,43750.85938,5949.169922,19107.65039,12475.7002,53.84999847,14.31000042,42.23694611,3379.839111,106.6699982,1.056412458,87250.42969
2024-11-15T00:00:00+00:00,49,619496,757933800.7,46031461.68,79007.27344,81441.8181,77.51898588,5471.150097,,,92553.29131,60316.36572,76434.82852,42.17570213,3598.67902,78243109518,4743.84375,2565.699951,67.01999664,43444.98828,5870.620117,18680.11914,12137.00977,53.45999908,16.13999939,42.23694611,3330.726074,106.6900024,1.053008437,91066.00781
2024-11-16T00:00:00+00:00,43,581986,793304044.8,46321229.22,80526.50223,82657.37257,76.02599074,5704.117575,,,94302.79605,60829.77895,77566.2875,43.15407914,3460.896143,44333192814,1669.71875,2565.699951,67.01999664,43444.98828,5870.620117,18680.11914,12137.00977,53.45999908,16.13999939,42.23694611,3330.726074,106.6900024,1.053008437,90558.47656
2024-11-17T00:00:00+00:00,39,518085,757933800.7,43237003.2,82033.98326,83615.83643,73.87455616,5764.790185,4863.130454,939.0839504,95726.01147,61400.3729,78563.19219,43.69175643,3405.930347,46350159305,2691.375,2565.699951,67.01999664,43444.98828,5870.620117,18680.11914,12137.00977,53.45999908,16.13999939,42.23694611,3330.726074,106.6900024,1.053008437,89845.85156
2024-11-18T00:00:00+00:00,43,569926,789177471.5,45939880.53,83657.6356,84539.41032,74.63052262,5802.214404,4863.130454,939.0839504,97153.45452,61755.1447,79454.29961,44.55178636,3391.449273,75535775084,3203.195313,2610.600098,69.16000366,43389.60156,5893.620117,18791.81055,12211.40039,55.11000061,15.57999992,42.71880722,3323.849121,106.2799988,1.053374529,90542.64063
2024-11-19T00:00:00+00:00,43,547133,889845955.1,53066002.67,85299.36607,85579.99416,76.52172459,5909.094629,5072.323289,836.77134,98685.31594,62223.70828,80454.51211,45.31953114,3404.623098,74521048295,3575.882813,2627.100098,69.38999939,43268.94141,5916.97998,18987.4707,12434.25,55.91999817,16.35000038,42.68930817,3346.01001,106.2099991,1.059490442,92343.78906
2024-11-20T00:00:00+00:00,49,557265,747470602.3,44849182.09,86635.10993,86747.92723,78.43957538,6084.693976,5274.797426,809.8965495,100211.527,63109.92768,81660.72734,45.43383404,3395.901693,71730956426,3282.523438,2648.199951,68.87000275,43408.46875,5917.109863,18966.14063,12399.07031,55.27999878,17.15999985,42.64014053,3367.989014,106.6800003,1.060760379,94339.49219
2024-11-21T00:00:00+00:00,73,666198,732216100.2,45832910.82,88249.38616,88315.50047,81.78405478,6485.199978,5516.877937,968.3220418,102158.9219,64064.75859,83111.84023,45.83482111,3502.024229,106024505582,4881.617188,2672.100098,70.09999847,43870.35156,5948.709961,18972.41992,12395.17969,54.77000046,16.87000084,42.55163193,3370.404053,106.9700012,1.054618716,98504.72656
2024-11-22T00:00:00+00:00,78,628962,727131266.2,45870965.21,89853.11384,89739.78895,82.1372036,6764.40397,5766.383143,998.0208263,103734.2565,65460.26304,84597.25977,45.24259244,3425.653636,78473580551,2432.835938,2709.899902,71.23999786,44296.51172,5969.339844,19003.65039,12411.16992,56.20999908,15.23999977,42.56146622,3267.191895,107.4899979,1.046934128,98997.66406
2024-11-23T00:00:00+00:00,54,590149,701707096,44288731.7,91353.00056,90811.45459,78.10030636,6808.713835,5974.849282,833.8645537,104549.1436,67548.99237,86049.06797,42.99889828,3308.234738,44414644677,1781.789063,2709.899902,71.23999786,44296.51172,5969.339844,19003.65039,12411.16992,56.20999908,15.23999977,42.56146622,3267.191895,107.4899979,1.046934128,97777.28125
2024-11-24T00:00:00+00:00,48,534909,681367759.9,41610724.67,92605.83147,91771.77002,78.32269092,6784.706575,6136.82074,647.8858345,104741.7428,70376.62441,87559.18359,39.24787436,3276.153797,51712020623,2859.101563,2709.899902,71.23999786,44296.51172,5969.339844,19003.65039,12411.16992,56.20999908,15.23999977,42.56146622,3267.191895,107.4899979,1.046934128,98013.82031
2024-11-25T00:00:00+00:00,50,593158,859336950.9,52818949.67,92920.17522,91949.1736,63.82890041,6296.776435,6168.811879,127.9645554,103895.6815,73596.9591,88746.32031,34.14082107,3491.579754,80909462490,6292.117188,2616.800049,68.94000244,44736.57031,5987.370117,19054.83984,12338.49023,57.02999878,14.60000038,42.59096909,3263.76001,106.8199997,1.047987342,93102.29688
2024-11-26T00:00:00+00:00,49,568082,706791930.1,42134965.08,93207.99721,91953.99316,61.06148555,5753.633306,6085.776165,-332.1428584,103512.4465,75614.81837,89563.63242,31.14838841,3543.676736,91656519855,4220.9375,2620.300049,68.76999664,44860.30859,6021.629883,19174.30078,12481.33008,56.20000076,14.10000038,42.4139595,3259.75708,107.0100021,1.044430017,91985.32031
2024-11-27T00:00:00+00:00,44,599701,676282925.9,40740155.28,93592.16629,92488.46491,66.61236517,5579.795736,5984.580079,-404.7843432,103271.7542,77861.27787,90566.51602,28.05725274,3689.308085,71133452438,5582.515625,2639.899902,68.72000122,44722.05859,5998.740234,19060.48047,12300.90039,57.15000153,14.10000038,42.47295761,3309.779053,106.0800018,1.04911983,95962.53125
2024-11-28T00:00:00+00:00,37,559054,722046432.2,43708706.5,94192.31194,92910.33209,65.82454768,5355.276462,5858.719355,-503.442893,102640.6686,80403.0627,91521.86563,24.29758801,3566.704047,52260008261,1972.851563,2639.899902,68.72000122,44722.05859,5998.740234,19060.48047,12300.90039,57.15000153,14.10000038,42.47295761,3295.697998,106.0800018,1.056245089,95652.46875
2024-11-29T00:00:00+00:00,39,551876,615264917.5,38539203.28,94649.13449,93517.1576,68.18851688,5262.654312,5739.506347,-476.8520345,101662.8509,83449.14595,92555.99844,19.67857868,3546.602977,54968682476,3285.289063,2657,68,44910.64844,6032.379883,19218.16992,12398.20996,57.97999954,13.51000023,42.54179764,3326.456055,105.7399979,1.056300879,97461.52344
2024-11-30T00:00:00+00:00,33,583648,833912780.8,51219912.17,95069.89007,93908.07721,65.459448,5049.347094,5601.474496,-552.1274021,100718.1612,85991.32244,93354.7418,15.77513733,3390.068836,31634227866,1355.125,2657,68,44910.64844,6032.379883,19218.16992,12398.20996,57.97999954,13.51000023,42.54179764,3326.456055,105.7399979,1.056300879,96449.05469
2024-12-01T00:00:00+00:00,33,501246,803403776.6,50454109.55,95600.8856,94357.63879,66.63923732,4890.953046,5459.370206,-568.41716,101011.0155,86556.2986,93783.65703,15.41283131,3299.202312,36590695296,2117.9375,2657,68,44910.64844,6032.379883,19218.16992,12398.20996,57.97999954,13.51000023,42.54179764,3326.456055,105.7399979,1.056300879,97279.78906
2024-12-02T00:00:00+00:00,39,578842,649582756.2,40042377.25,95981.07589,94558.66091,62.71149493,4598.281428,5287.152451,-688.8710223,100938.0521,87420.21115,94179.13164,14.35332939,3325.668888,72680784305,3669.734375,2634.899902,68.09999847,44782,6047.149902,19403.94922,12553.95996,59.47000122,13.34000015,42.70897675,3363.981934,106.4499969,1.054507494,95865.30469
2024-12-03T00:00:00+00:00,37,613585,811042070.6,48404742.07,96242.38839,94751.128,62.93910421,4327.495793,5095.221119,-767.7253264,101043.1637,87856.89961,94450.03164,13.96110074,3278.666869,67067810961,2667.640625,2644.699951,69.94000244,44705.53125,6049.879883,19480.91016,12685.32031,58.99000168,13.30000019,42.79748154,3378.805908,106.3700027,1.05012238,96002.16406
2024-12-04T00:00:00+00:00,38,606514,759383340,46080118.04,96558.74833,95286.78176,67.28590614,4286.704477,4933.517791,-646.8133136,100984.6075,89067.26594,95025.93672,12.54114611,3369.248142,77199817112,4546.804688,2653.800049,68.54000092,45014.03906,6086.490234,19735.11914,12969.50977,60.83000183,13.44999981,42.90565491,3364.649902,106.3399963,1.051082611,98768.53125
2024-12-05T00:00:00+00:00,100,676971,800710324.5,50444083.64,96422.23717,95461.02024,61.2075613,4032.392979,4753.292828,-720.8998495,101008.0581,89596.57163,95302.31484,11.97398663,3978.708096,149218945580,11901.6875,2626.600098,68.30000305,44765.71094,6075.109863,19700.25977,12988.19043,60.38000107,13.53999996,43.19083786,3368.85498,105.7099991,1.051414132,96593.57031
2024-12-06T00:00:00+00:00,61,589966,702558736.3,43413843.2,96488.16908,96055.64566,66.23283992,4052.605809,4613.155425,-560.5496151,101377.9311,90162.92199,95770.42656,11.71030509,4089.158076,94534772658,5525.007813,2638.600098,67.19999695,44642.51953,6090.27002,19859.76953,13139.5498,62.90000153,12.77000046,43.12200165,3404.075928,105.9700012,1.058559537,99920.71094
2024-12-07T00:00:00+00:00,44,523611,733553974.7,46815725.79,96641.45871,96571.3377,66.23655615,4022.467932,4495.017926,-472.5499937,101456.7485,91091.85309,96274.30078,10.76600432,3906.539642,44177510897,1532.5,2638.600098,67.19999695,44642.51953,6090.27002,19859.76953,13139.5498,62.90000153,12.77000046,43.12200165,3404.075928,105.9700012,1.058559537,99923.33594
2024-12-08T00:00:00+00:00,41,500126,754217467,47090807.28,96871.61551,97193.29476,68.12569123,4057.730734,4407.560488,-349.8297537,101714.8455,91903.09361,96808.96953,10.13516815,3815.249422,44125751925,2628.476563,2638.600098,67.19999695,44642.51953,6090.27002,19859.76953,13139.5498,62.90000153,12.77000046,43.12200165,3404.075928,105.9700012,1.058559537,101236.0156
2024-12-09T00:00:00+00:00,44,548218,862700801.2,54361566.26,97180.93136,97225.21796,57.99988617,3735.719438,4273.192278,-537.47284,101524.2334,92602.59862,97063.41602,9.191552444,4036.774017,110676473908,6916.59375,2664.899902,68.37000275,44401.92969,6052.850098,19736.68945,13016.36035,61.31000137,14.18999958,44.007061,3402.533936,106.1500015,1.05654633,97432.71875
2024-12-10T00:00:00+00:00,46,637676,795544451.4,48841001.1,97515.93917,97151.91285,56.20842981,3380.44856,4094.643534,-714.194974,101468.6252,92891.80057,97180.21289,8.825690324,4030.49719,104823780634,3948.898438,2697.600098,68.58999634,44247.82813,6034.910156,19687.24023,12983.25,60.59000015,14.18000031,43.29901505,3422.660889,106.4000015,1.055520415,96675.42969
2024-12-11T00:00:00+00:00,42,617471,733553974.7,46348479.76,97888.11775,97688.06197,63.43244978,3422.361831,3960.187194,-537.8253622,101913.2949,92713.96138,97313.62813,9.453283845,4183.042591,85391409936,6166.132813,2733.800049,70.29000092,44148.55859,6084.189941,20034.89063,13365.80957,61.81000137,13.57999992,43.47602463,3432.48999,106.7099991,1.053296804,101173.0313
2024-12-12T00:00:00+00:00,40,642365,764549213.1,48612048.37,98201.72712,98002.05371,60.72207599,3326.053647,3833.360484,-507.3068373,102063.629,92668.16083,97365.89492,9.649650116,4111.751045,72073983533,3184.960938,2687.5,70.01999664,43914.12109,6051.25,19902.83984,13297.49023,60.91999817,13.92000008,43.2596817,3461.5,106.9599991,1.050685048,100043
2024-12-13T00:00:00+00:00,35,622796,878198420.4,54813691.99,98487.27958,98463.01426,62.86374503,3325.672603,3731.822908,-406.1503053,102574.9726,92525.01491,97549.99375,10.3023663,4007.734787,56894751583,2655.523438,2656,71.29000092,43828.05859,6051.089844,19926.7207,13483.71973,61.33000183,13.81000042,43.29901505,3391.87793,107,1.047405601,101459.2578
2024-12-14T00:00:00+00:00,32,547370,821373816.8,51636670.97,98838.98772,98851.00819,62.63964021,3280.591203,3641.576567,-360.9853641,103011.1141,92424.78821,97717.95117,10.83355288,3863.241454,40422968793,1984.828125,2656,71.29000092,43828.05859,6051.089844,19926.7207,13483.71973,61.33000183,13.81000042,43.29901505,3391.87793,107,1.047405601,101372.9688
2024-12-15T00:00:00+00:00,67,540459,707724609.4,45484688.17,99340.33817,99577.36647,66.94273172,3441.276656,3601.516585,-160.2399289,103860.2765,92695.2657,98277.77109,11.36066749,3860.189051,51145914137,3820.507813,2656,71.29000092,43828.05859,6051.089844,19926.7207,13483.71973,61.33000183,13.81000042,43.29901505,3391.87793,107,1.047405601,104298.6953
2024-12-16T00:00:00+00:00,98,628257,796354777.9,49902125.29,100066.3677,100437.6801,69.20286353,3666.040329,3614.421334,51.61899515,104749.8668,93210.11525,98979.99102,11.65867102,3902.860815,91020417816,4457.59375,2651.399902,70.70999908,43717.48047,6074.080078,20173.89063,13843.49023,62.93999863,14.68999958,43.06299973,3386.331055,106.8600006,1.051005244,106029.7188
2024-12-17T00:00:00+00:00,90,587955,733677850.1,46675781.88,100790.5419,101198.0696,69.347434,3809.204339,3653.377935,155.8264041,105867.7182,93110.07088,99488.89453,12.82318732,3836.707252,68589364868,2976.710938,2644.399902,70.08000183,43449.89844,6050.609863,20109.06055,13681.73047,62.97999954,15.86999989,42.95999908,3361.485107,106.9599991,1.051734805,106140.6016
2024-12-18T00:00:00+00:00,86,583495,776835370.7,48207435.46,100881.471,101043.8656,54.25953215,3391.425237,3600.987395,-209.562158,105841.3899,93575.30619,99708.34805,12.30196263,4021.876042,93865656139,6429.070313,2636.5,70.58000183,42326.87109,5872.160156,19392.68945,13101.86035,58.56000137,27.62000084,41.95999908,3382.208008,108.0299988,1.049505115,100041.5391
2024-12-19T00:00:00+00:00,92,634202,782230060.8,49035041.54,100945.5698,100570.1439,49.4173668,2821.991163,3445.188149,-623.1969859,105840.7181,93578.92093,99709.81953,12.2974821,4246.061236,97221662392,7160.46875,2592.199951,69.91000366,42342.23828,5867.080078,19372.76953,13149.15039,58.16999817,24.09000015,42.09999847,3370.032959,108.4100037,1.035025239,97490.95313
2024-12-20T00:00:00+00:00,100,640920,814598201.3,48792080.69,100790.9425,100194.9153,49.91740431,2364.831643,3229.116848,-864.2852043,105792.4599,93757.86671,99775.16328,12.06171231,4365.895032,105634083408,5923.734375,2628.699951,69.45999908,42840.26172,5930.850098,19572.59961,13313.42969,59.40000153,18.36000061,42.27000046,3368.069092,107.6200027,1.03649497,97755.92969
2024-12-21T00:00:00+00:00,71,516725,782230060.8,46576983.08,100598.1847,99798.89017,48.87431928,1937.333404,2970.760159,-1033.426755,105794.3197,93750.5006,99772.41016,12.07129216,4274.086681,51765334294,3080.578125,2628.699951,69.45999908,42840.26172,5930.850098,19572.59961,13313.42969,59.40000153,18.36000061,42.27000046,3368.069092,107.6200027,1.03649497,97224.72656
2024-12-22T00:00:00+00:00,69,477331,836176961.6,48657903.29,100160.2506,99173.02981,44.84698498,1411.22103,2658.852333,-1247.631303,105863.142,93605.64162,99734.3918,12.29014399,4194.371784,43147981314,3158.078125,2628.699951,69.45999908,42840.26172,5930.850098,19572.59961,13313.42969,59.40000153,18.36000061,42.27000046,3368.069092,107.6200027,1.03649497,95104.9375
2024-12-23T00:00:00+00:00,76,528563,749861920.4,42142590.4,99964.07366,98574.79146,44.07445727,949.5422395,2316.990314,-1367.448075,105981.6869,93355.50451,99668.5957,12.66816522,4181.422237,65239002919,4013.078125,2612.300049,69.23999786,42906.94922,5974.069824,19764.88086,13483.91016,59.24000168,16.78000069,42.50999832,3351.25708,108.0400009,1.043307662,94686.24219
2024-12-24T00:00:00+00:00,76,543738,712099089.8,40475096.03,100106.9782,98588.29844,52.47563976,895.28585,2032.649422,-1137.363572,105979.8288,93348.11888,99663.97383,12.67429886,4308.18114,47114953674,5956.046875,2620,70.09999847,43297.03125,6040.040039,20031.13086,13679.40039,60.95999908,14.27000046,42.63999939,3393.528076,108.2600021,1.040582657,98676.09375
2024-12-25T00:00:00+00:00,64,465831,814598201.3,48438682.85,99973.13281,98683.08469,53.64674844,892.2807025,1804.575678,-912.2949752,105960.258,93638.25217,99799.25508,12.34679137,4135.116862,33700394629,1885.28125,2620,70.09999847,43297.03125,6040.040039,20031.13086,13679.40039,60.95999908,14.27000046,42.63999939,3393.350098,108.2600021,1.040257931,99299.19531
2024-12-26T00:00:00+00:00,72,488028,706704399.8,40408202.34,99669.74107,98298.07548,46.68095081,600.2619857,1563.712939,-963.4509536,105995.4027,93190.58795,99592.99531,12.8571439,4178.800479,47054980873,4746.6875,2638.800049,69.62000275,43325.80078,6037.589844,20020.35938,13662.94043,60.95999908,14.72999954,42.49000168,3398.076904,108.1299973,1.039955139,95795.51563
2024-12-27T00:00:00+00:00,69,568492,852361031.8,48511207.92,99148.71261,97746.98,43.8285703,234.5509598,1297.880543,-1063.329584,106126.3856,92483.75735,99305.07148,13.73809823,4164.893414,52419934565,3984.101563,2617.199951,70.59999847,42992.21094,5970.839844,19722.0293,13440.0498,59.27000046,15.94999981,42.29999924,3400.14209,108,1.042318106,94164.85938
