Date,active_addresses_blockchain,hash_rate_blockchain,miner_revenue_blockchain
2014-11-16 00:00:00+00:00,222035.0,285462.79452079,1701328.2162303
2014-11-17 00:00:00+00:00,177323.0,299243.757014897,1585496.74478053
2014-11-18 00:00:00+00:00,180223.0,295306.339159437,1696963.96160251
2014-11-19 00:00:00+00:00,172491.0,274455.576194397,1401637.63134078
2014-11-20 00:00:00+00:00,179016.0,274455.576194397,1445702.43810439
2014-11-21 00:00:00+00:00,171057.0,248412.346336535,1225667.97767449
2014-11-22 00:00:00+00:00,154860.0,316525.409041714,1720539.5956743
2014-11-23 00:00:00+00:00,223748.0,282468.877689124,1381369.81458253
2014-11-24 00:00:00+00:00,173690.0,310515.432920669,1593014.46073971
2014-11-25 00:00:00+00:00,175123.0,256425.647831262,1371988.81240389
2014-11-26 00:00:00+00:00,170725.0,286475.528436488,1537906.98690018
2014-11-27 00:00:00+00:00,181363.0,262435.623952307,1481376.22009032
2014-11-28 00:00:00+00:00,177683.0,310515.432920669,1502927.50723127
2014-11-29 00:00:00+00:00,155964.0,302502.131425942,1936735.41089118
2014-11-30 00:00:00+00:00,246494.0,312518.75829435,1601182.63187674
2014-12-01 00:00:00+00:00,181684.0,286475.528436488,1434587.0265017
2014-12-02 00:00:00+00:00,209968.0,284472.203062806,1591199.52639651
2014-12-03 00:00:00+00:00,194808.0,242402.37021549,1182250.10772653
2014-12-04 00:00:00+00:00,187186.0,294339.755888874,1660936.38144759
2014-12-05 00:00:00+00:00,194196.0,298317.320157643,1608673.90086041
2014-12-06 00:00:00+00:00,157776.0,288373.409485721,1574471.78998336
2014-12-07 00:00:00+00:00,229659.0,242631.420394883,1410992.45742544
2014-12-08 00:00:00+00:00,198822.0,298317.320157643,1821805.70265682
2014-12-09 00:00:00+00:00,186519.0,276440.716679416,1475143.01528575
2014-12-10 00:00:00+00:00,187861.0,326160.270039023,1367831.71948377
2014-12-11 00:00:00+00:00,181976.0,288373.409485721,1521941.03052705
2014-12-12 00:00:00+00:00,190237.0,282407.063082569,1426533.92167311
2014-12-13 00:00:00+00:00,155092.0,284395.845216953,1642099.43255656
2014-12-14 00:00:00+00:00,250811.0,262519.241738726,1490845.67497268
2014-12-15 00:00:00+00:00,202124.0,304283.666560796,1607252.20036533
2014-12-16 00:00:00+00:00,219102.0,264508.02387311,1440953.04801868
2014-12-17 00:00:00+00:00,209988.0,252575.331066804,1308619.63642535
2014-12-18 00:00:00+00:00,200207.0,272641.755669288,1217840.34568766
2014-12-19 00:00:00+00:00,189380.0,243219.983474761,1293156.99008536
2014-12-20 00:00:00+00:00,224411.0,276564.658628559,1278678.75492542
2014-12-21 00:00:00+00:00,205666.0,284410.464547099,1363448.95268664
2014-12-22 00:00:00+00:00,212181.0,253027.240872936,1717274.500176
2014-12-23 00:00:00+00:00,202314.0,317755.139700897,1382703.23911297
2014-12-24 00:00:00+00:00,161207.0,296179.17342491,1427548.03301166
2014-12-25 00:00:00+00:00,140109.0,331485.300058343,1394962.02044135
2014-12-26 00:00:00+00:00,162298.0,282449.013067464,1333687.82891679
2014-12-27 00:00:00+00:00,180035.0,313832.236741627,1391843.04167568
2014-12-28 00:00:00+00:00,238616.0,327562.397099073,1561020.13669653
2014-12-29 00:00:00+00:00,163563.0,331485.300058343,1703669.81497197
2014-12-30 00:00:00+00:00,179514.0,286371.916026734,1673863.09268083
2014-12-31 00:00:00+00:00,150108.0,313142.288941348,1434545.8061867
2015-01-01 00:00:00+00:00,117529.0,335365.290092025,1519572.47532184
2015-01-02 00:00:00+00:00,179406.0,323243.653100747,1475784.13022053
2015-01-03 00:00:00+00:00,205926.0,331324.744428265,1586907.13151435
2015-01-04 00:00:00+00:00,207255.0,335365.290092025,1632202.97088049
2015-01-05 00:00:00+00:00,200612.0,339405.835755784,1202039.03548908
2015-01-06 00:00:00+00:00,179159.0,317182.834605108,1361861.14103894
2015-01-07 00:00:00+00:00,171674.0,299000.379118191,1052470.30059465
2015-01-08 00:00:00+00:00,197689.0,272736.832303755,1383767.09375183
2015-01-09 00:00:00+00:00,202190.0,307081.470445709,1085523.88835297
2015-01-10 00:00:00+00:00,242729.0,284858.469295033,1335502.20243442
2015-01-11 00:00:00+00:00,211904.0,296980.106286311,1225262.60743366
2015-01-12 00:00:00+00:00,186352.0,358478.281006871,1092944.81968145
2015-01-13 00:00:00+00:00,213182.0,229513.533571473,1026145.43398932
2015-01-14 00:00:00+00:00,217076.0,330062.319707546,930527.16360222
2015-01-15 00:00:00+00:00,229796.0,303832.201585092,729864.29221988
2015-01-16 00:00:00+00:00,209325.0,325690.633353804,954891.941835932
2015-01-17 00:00:00+00:00,250389.0,299460.51523135,762548.336457896
2015-01-18 00:00:00+00:00,214984.0,325690.633353804,887192.302591338
2015-01-19 00:00:00+00:00,207358.0,338805.692415031,904302.554752611
2015-01-20 00:00:00+00:00,191743.0,262301.18122454,672812.407056865
2015-01-21 00:00:00+00:00,189969.0,299460.51523135,925107.460673729
2015-01-22 00:00:00+00:00,186251.0,327876.476530675,907343.516960094
