x,y,metric
1416096000,285462.79452079,hash_rate
1416182400,299243.757014897,hash_rate
1416268800,295306.339159437,hash_rate
1416355200,274455.576194397,hash_rate
1416441600,274455.576194397,hash_rate
1416528000,248412.346336535,hash_rate
1416614400,316525.409041714,hash_rate
1416700800,282468.877689124,hash_rate
1416787200,310515.432920669,hash_rate
1416873600,256425.647831262,hash_rate
1416960000,286475.528436488,hash_rate
1417046400,262435.623952307,hash_rate
1417132800,310515.432920669,hash_rate
1417219200,302502.131425942,hash_rate
1417305600,312518.75829435,hash_rate
1417392000,286475.528436488,hash_rate
1417478400,284472.203062806,hash_rate
1417564800,242402.37021549,hash_rate
1417651200,294339.755888874,hash_rate
1417737600,298317.320157643,hash_rate
1417824000,288373.409485721,hash_rate
1417910400,242631.420394883,hash_rate
1417996800,298317.320157643,hash_rate
1418083200,276440.716679416,hash_rate
1418169600,326160.270039023,hash_rate
1418256000,288373.409485721,hash_rate
1418342400,282407.063082569,hash_rate
1418428800,284395.845216953,hash_rate
1418515200,262519.241738726,hash_rate
1418601600,304283.666560796,hash_rate
1418688000,264508.02387311,hash_rate
1418774400,252575.331066804,hash_rate
1418860800,272641.755669288,hash_rate
1418947200,243219.983474761,hash_rate
1419033600,276564.658628559,hash_rate
1419120000,284410.464547099,hash_rate
1419206400,253027.240872936,hash_rate
1419292800,317755.139700897,hash_rate
1419379200,296179.17342491,hash_rate
1419465600,331485.300058343,hash_rate
1419552000,282449.013067464,hash_rate
1419638400,313832.236741627,hash_rate
1419724800,327562.397099073,hash_rate
1419811200,331485.300058343,hash_rate
1419897600,286371.916026734,hash_rate
1419984000,313142.288941348,hash_rate
1420070400,335365.290092025,hash_rate
1420156800,323243.653100747,hash_rate
1420243200,331324.744428265,hash_rate
1420329600,335365.290092025,hash_rate
1420416000,339405.835755784,hash_rate
1420502400,317182.834605108,hash_rate
1420588800,299000.379118191,hash_rate
1420675200,272736.832303755,hash_rate
1420761600,307081.470445709,hash_rate
1420848000,284858.469295033,hash_rate
1420934400,296980.106286311,hash_rate
1421020800,358478.281006871,hash_rate
1421107200,229513.533571473,hash_rate
1421193600,330062.319707546,hash_rate
1421280000,303832.201585092,hash_rate
1421366400,325690.633353804,hash_rate
1421452800,299460.51523135,hash_rate
1421539200,325690.633353804,hash_rate
1421625600,338805.692415031,hash_rate
1421712000,262301.18122454,hash_rate
1421798400,299460.51523135,hash_rate
1421884800,327876.476530675,hash_rate
1421971200,271044.553932025,hash_rate
1422057600,264487.024401411,hash_rate
1422144000,275416.240285767,hash_rate
1422230400,277602.083462638,hash_rate
1422316800,316947.260646319,hash_rate
1422403200,324166.338971824,hash_rate
1422489600,348786.567248165,hash_rate
1422576000,285184.310867618,hash_rate
1422662400,318011.281902739,hash_rate
1422748800,348786.567248165,hash_rate
1422835200,301597.796385178,hash_rate
1422921600,276977.568108837,hash_rate
1423008000,330321.39604091,hash_rate
1423094400,301597.796385178,hash_rate
1423180800,359044.995696641,hash_rate
1423267200,352889.938627556,hash_rate
1423353600,262615.768280972,hash_rate
1423440000,342533.060667745,hash_rate
1423526400,331483.607097818,hash_rate
1423612800,331483.607097818,hash_rate
1423699200,300545.137102021,hash_rate
1423785600,309384.699957963,hash_rate
1423872000,355792.404951658,hash_rate
1423958400,296125.35567405,hash_rate
1424044800,349162.732809701,hash_rate
1424131200,342533.060667745,hash_rate
1424217600,355792.404951658,hash_rate
1424304000,362422.077093614,hash_rate
1424390400,366841.858521585,hash_rate
1424476800,304964.918529992,hash_rate
1424563200,333693.497811803,hash_rate
1424649600,317934.931985704,hash_rate
1424736000,320255.624919906,hash_rate
1424822400,362028.097735547,hash_rate
1424908800,334179.78252512,hash_rate
1424995200,366669.483603951,hash_rate
1425081600,313293.5461173,hash_rate
1425168000,348103.940130333,hash_rate
1425254400,348103.940130333,hash_rate
1425340800,357386.711867142,hash_rate
1425427200,364348.790669749,hash_rate
1425513600,264558.994499053,hash_rate
1425600000,366669.483603951,hash_rate
1425686400,327217.703722513,hash_rate
1425772800,362028.097735547,hash_rate
1425859200,311208.023870146,hash_rate
1425945600,356003.118215091,hash_rate
1426032000,391367.666382153,hash_rate
1426118400,313565.660414617,hash_rate
1426204800,327711.479681442,hash_rate
1426291200,315923.296959088,hash_rate
1426377600,346572.572037208,hash_rate
1426464000,308850.387325675,hash_rate
1426550400,337142.025859325,hash_rate
1426636800,332426.752770383,hash_rate
1426723200,337142.025859325,hash_rate
1426809600,332426.752770383,hash_rate
1426896000,337142.025859325,hash_rate
1426982400,313565.660414617,hash_rate
1427068800,358360.754759562,hash_rate
1427155200,387831.112208752,hash_rate
1427241600,385508.770219478,hash_rate
1427328000,346028.956401821,hash_rate
1427414400,399442.822155122,hash_rate
1427500800,348351.298391095,hash_rate
1427587200,350673.640380369,hash_rate
1427673600,329772.562476903,hash_rate
1427760000,346028.956401821,hash_rate
1427846400,329772.562476903,hash_rate
1427932800,341384.272423273,hash_rate
1428019200,350673.640380369,hash_rate
1428105600,357640.66634819,hash_rate
1428192000,371157.005411998,hash_rate
1428278400,317081.150318859,hash_rate
1428364800,390820.952718594,hash_rate
1428451200,292501.216185614,hash_rate
1428537600,351493.058105402,hash_rate
1428624000,349035.064692078,hash_rate
1428710400,336745.097625455,hash_rate
1428796800,334287.104212131,hash_rate
1428883200,346577.071278753,hash_rate
1428969600,388362.959305269,hash_rate
1429056000,302333.189838912,hash_rate
1429142400,339203.09103878,hash_rate
1429228800,329371.117385482,hash_rate
1429315200,326913.123972157,hash_rate
1429401600,334287.104212131,hash_rate
1429488000,408026.906611865,hash_rate
1429574400,376310.705870182,hash_rate
1429660800,338442.961883245,hash_rate
1429747200,326609.291887328,hash_rate
1429833600,284008.079902024,hash_rate
1429920000,364477.035874264,hash_rate
1430006400,352643.365878346,hash_rate
1430092800,326609.291887328,hash_rate
1430179200,371577.237871815,hash_rate
1430265600,305308.685894676,hash_rate
1430352000,314775.62189141,hash_rate
1430438400,347909.897879979,hash_rate
1430524800,347909.897879979,hash_rate
1430611200,326609.291887328,hash_rate
1430697600,312624.333322854,hash_rate
1430784000,364728.388876663,hash_rate
1430870400,338676.361099758,hash_rate
1430956800,381306.95200742,hash_rate
1431043200,350518.191907442,hash_rate
1431129600,298414.136353633,hash_rate
1431216000,305519.234838243,hash_rate
1431302400,352886.558068979,hash_rate
1431388800,374201.85352281,hash_rate
1431475200,383675.318168957,hash_rate
1431561600,331571.262615148,hash_rate
1431648000,390780.416653567,hash_rate
1431734400,303150.868676707,hash_rate
1431820800,419738.369701863,hash_rate
1431907200,332393.969070261,hash_rate
1431993600,329967.735719384,hash_rate
1432080000,344525.13582465,hash_rate
1432166400,371213.702684306,hash_rate
1432252800,344525.13582465,hash_rate
1432339200,291148.002105338,hash_rate
1432425600,342098.902473773,hash_rate
1432512000,349377.602526406,hash_rate
1432598400,327541.502368506,hash_rate
1432684800,351803.835877284,hash_rate
1432771200,320262.802315872,hash_rate
1432857600,380918.636087818,hash_rate
1432944000,300852.93550885,hash_rate
1433030400,356656.30257904,hash_rate
1433116800,332393.969070261,hash_rate
1433203200,345390.945540338,hash_rate
1433289600,335928.179909096,hash_rate
1433376000,335928.179909096,hash_rate
1433462400,335928.179909096,hash_rate
1433548800,380876.316657496,hash_rate
1433635200,395070.465104359,hash_rate
1433721600,333562.488501286,hash_rate
1433808000,383242.008065307,hash_rate
1433894400,373779.242434065,hash_rate
1433980800,366682.168210633,hash_rate
1434067200,321734.031462233,hash_rate
1434153600,373779.242434065,hash_rate
1434240000,358182.179015018,hash_rate
1434326400,370533.288636225,hash_rate
1434412800,303837.296681705,hash_rate
1434499200,350771.513242293,hash_rate
1434585600,380414.176333191,hash_rate
1434672000,397705.729802882,hash_rate
1434758400,331009.737848361,hash_rate
1434844800,301367.074757463,hash_rate
1434931200,365592.844787742,hash_rate
1435017600,353241.735166535,hash_rate
1435104000,373003.510560467,hash_rate
1435190400,395235.50787864,hash_rate
1435276800,365592.844787742,hash_rate
